year,temperaturamnimaextrema_ACUM,latitud,longitud
2012,-7.5,26.12861111,-106.3333333
2012,-7,23.82166667,-104.9261111
2012,-5.2,24.98888889,-105.8916667
2012,-3.9,29.25194444,-108.0927778
2012,-3.6,19.13361111,-97.6625
2012,-3.6,24.36472222,-105.5175
2012,-3.5,19.4925,-98.53527778
2012,-3.3,29.19,-108.1413889
2012,-2.9,19.58083333,-97.24777778
2012,-2.8,19.70444444,-99.70305556
2012,-2.8,23.69027778,-105.3527778
2012,-2.8,23.83444444,-105.0416667
2012,-2.5,19.85416667,-98.30833333
2012,-2.3,24.70027778,-99.85527778
2012,-2.2,23.38777778,-104.2472222
2012,-2.2,24.71,-100.3033333
2012,-2,19.91722222,-99.68
2012,-1.9,28.80277778,-106.4847222
2012,-1.8,19.37027778,-97.35583333
2012,-1.8,23.50444444,-104.8244444
2012,-1.8,23.55416667,-105.4111111
2012,-1.8,24.05361111,-105.0086111
2012,-1.7,19.02333333,-97.56694444
2012,-1.5,19.61027778,-98.64166667
2012,-1.4,26.47416667,-106.3883333
2012,-1.4,26.47555556,-106.3875
2012,-1.3,18.83694444,-97.54722222
2012,-1.3,25.08472222,-100.3333333
2012,-1.2,19.1125,-97.95611111
2012,-1.2,19.71305556,-99.62861111
2012,-1.1,24.97694444,-104.7688889
2012,-1,19.08527778,-97.54138889
2012,-1,19.34083333,-99.79833333
2012,-0.9,19.29861111,-99.36861111
2012,-0.9,19.39916667,-99.90833333
2012,-0.8,19.46222222,-99.77555556
2012,-0.7,19.31805556,-97.64722222
2012,-0.7,28.75972222,-107.6975
2012,-0.6,19.87277778,-98.71805556
2012,-0.5,19.39138889,-99.52527778
2012,-0.5,19.42805556,-97.79888889
2012,-0.5,19.855,-99.96777778
2012,-0.5,22.67305556,-102.0408333
2012,-0.5,32.00361111,-115.9483333
2012,-0.4,16.79694444,-92.69666667
2012,-0.4,19.55555556,-98.20277778
2012,-0.4,25.93305556,-105.9516667
2012,-0.3,18.60388889,-97.2725
2012,-0.3,19.41194444,-97.39388889
2012,-0.3,20.05444444,-99.69027778
2012,-0.3,20.15944444,-98.55666667
2012,-0.3,25.56722222,-104.2916667
2012,-0.2,20.04055556,-98.17388889
2012,-0.2,25.95333333,-105.3666667
2012,-0.1,17.57333333,-97.5225
2012,-0.1,22.4875,-102.46
2012,-0.1,22.62777778,-103.8975
2012,-0.1,24.56666667,-100.2383333
2012,0,19.38527778,-97.28916667
2012,0,19.50472222,-99.90666667
2012,0,23.09194444,-103.6711111
2012,0,28.50138889,-107.47
2012,0.1,16.67777778,-92.48916667
2012,0.1,19.51972222,-98.26916667
2012,0.1,19.62277778,-97.81416667
2012,0.1,19.6975,-97.5475
2012,0.1,20.37472222,-99.80888889
2012,0.1,25.36694444 ,-100.6205556 
2012,0.2,19.7375,-102.0791667
2012,0.2,19.78027778,-99.68638889
2012,0.2,19.825,-99.79083333
2012,0.2,22.64972222,-103.6997222
2012,0.3,19.34638889,-97.45611111
2012,0.3,23.28555556,-101.2108333
2012,0.3,23.49777778,-102.1336111
2012,0.3,24.44388889,-105.785
2012,0.3,25.20805556 ,-100.8297222 
2012,0.4,19.2925,-99.92222222
2012,0.4,20.15472222,-98.27388889
