temperaturamnimaextrema_ACUM,latitud,longitud
6.5,18.52805556,-97.14472222
6.5,18.93888889,-98.135
6.5,18.96888889,-97.95833333
6.5,20.14361111,-102.8508333
6.5,20.22944444,-99.21527778
6.5,20.92777778,-103.0233333
6.5,21.65222222,-102.9813889
6.5,29.05527778,-109.2327778
6.5,25.43333333,-101
6.6,18.89833333,-97.72805556
6.6,19.85861111,-100.8272222
6.6,19.91972222,-100.0122222
6.6,20.21916667,-99.84583333
6.6,21.96444444,-102.6972222
6.6,23.98638889,-104.6361111
6.6,25.09166667,-111.3255556
6.6,26.49333333,-99.52416667
6.6,26.58888889,-112.7222222
6.6,25.06805556,-103.2838889
6.7,16.28305556,-95.88305556
6.7,16.73333333,-92.63333333
6.7,18.82611111,-99.82
6.7,19.14666667,-96.95
6.7,19.38472222,-98.84611111
6.7,20.44055556,-99.37416667
6.7,20.50055556,-104.7736111
6.7,21.75722222,-102.3022222
6.7,22.12805556,-102.3594444
6.7,22.77888889,-102.5669444
6.7,25.57555556,-105.2197222
6.7,27.01194444,-109.4922222
6.7,25.48944444,-102.9425
6.8,18.33,-97.01416667
6.8,19.14055556,-98.77222222
6.8,19.625,-101.2811111
6.8,19.82388889,-98.95444444
6.8,20.155,-99.355
6.8,20.38277778,-101.1788889
6.8,20.53638889,-100.8166667
6.8,20.57777778,-100.7455556
6.8,20.63944444,-99.32777778
6.8,21.7325,-103.2147222
6.8,21.80194444,-102.2730556
6.8,24.62138889,-101.3894444
6.8,24.82861111,-111.2188889
6.8,29.825,-110.2261111
6.8,25.72972222,-102.0127778
6.9,17.06583333,-96.62361111
6.9,21.01805556,-102.8258333
6.9,21.18166667,-102.8905556
6.9,21.14833333,-99.77888889
7,19.0125,-98.19305556
7,20.67527778,-101.8441667
7,21.85027778,-102.2908333
7,22.05888889,-103.3619444
7,24.63138889,-102.7827778
7,28.47333333,-110.31
7.1,19.05,-98.16666667
7.1,19.53416667,-99.23944444
7.1,19.62333333,-99.28222222
7.1,20.05666667,-99.34833333
7.1,21.49944444,-103.5505556
7.1,22.20277778,-102.135
7.1,24.86944444,-103.6983333
7.2,17.06583333,-96.87833333
7.2,17.37027778,-98.83777778
7.2,18.59611111,-97.93
7.2,18.885,-98.69027778
7.2,19.44333333,-98.90277778
7.2,19.61638889,-99.66833333
7.2,20.50777778,-99.13555556
7.2,20.52972222,-98.63527778
7.2,20.69583333,-102.9525
7.2,20.8575,-102.22
7.2,22.76138889,-102.5766667
7.2,25.5,-105.25
7.2,26.14,-103.7591667
7.2,26.22472222,-111.475
7.2,27.1375,-112.9055556
7.2,28.625,-109.9525
7.2,20.74166667,-99.94166667
7.2,27.28555556,-103.7002778
7.2,29.03638889,-100.9555556
7.3,16.13916667,-96.44583333
7.3,17.28805556,-97.36805556
7.3,19.29694444,-99.18222222
7.3,19.82333333,-101.0383333
7.3,19.82638889,-100.8788889
7.3,20.20277778,-104.0488889
7.3,26.82083333,-112.7972222
7.3,27.88472222,-113.7777778
7.3,26.93472222,-102.2072222
7.4,17.23222222,-97.00222222
7.4,18.86944444,-97.91972222
7.4,19.26361111,-97.14805556
7.4,19.41583333,-99.04555556
7.4,19.51527778,-99.17277778
7.4,20.99166667,-98.65861111
7.4,22.23277778,-102.4436111
7.4,24.64055556,-101.5558333
7.4,20.69861111,-100.1441667
7.4,26.93916667,-102.2230556
7.5,17.26666667,-96.54972222
7.5,18.2025,-97.4525
7.5,18.22777778,-97.57805556
7.5,19.57611111,-98.91388889
7.5,20.71583333,-101.3697222
7.5,21.43361111,-102.5738889
7.5,24.56666667,-99.55111111
7.5,25.50555556,-103.6538889
7.5,27.51944444,-109.2530556
7.6,19.12972222,-97.73333333
7.6,19.95611111,-101.1380556
7.6,21.74222222,-102.7169444
7.6,27.06111111,-112.2388889
7.6,25.43833333,-102.1727778
7.7,16.99722222,-96.4325
7.7,17.43305556,-96.54972222
7.7,18.43055556,-97.025
7.7,19.33388889,-99.13222222
7.7,20.42111111,-99.23111111
7.7,21.35388889,-97.68166667
7.7,22.66194444,-99.90611111
7.7,26.81555556,-108.9980556
7.7,27.3125,-102.3963889
7.8,16.09138889,-96.465
7.8,18.46388889,-97.39305556
7.8,18.9525,-99.55194444
7.8,19.46527778,-99.07916667
7.8,19.65666667,-99.01722222
7.8,20.47972222,-99.22388889
7.8,21.62555556,-101.9663889
7.8,22.43194444,-100.2808333
7.8,25.20138889,-111.5597222
7.8,29.12666667,-110.3147222
7.8,20.50416667,-100.4244444
7.8,20.81472222,-100.55
7.9,17.39972222,-96.93305556
7.9,18.92305556,-99.76611111
7.9,20.17722222,-98.06111111
7.9,20.59694444,-98.76583333
7.9,21.99666667,-102.6741667
7.9,23.4225,-100.1180556
8,16.16666667,-96.5
8,19.28527778,-99.65277778
8,20.11777778,-102.3741667
8,20.43305556,-99.14944444
8,23.57444444,-99.85666667
8,24.10305556,-99.81833333
8,24.46972222,-111.0016667
8,31.89583333,-115.5972222
8.1,18.74694444,-99.675
8.1,22.14138889,-102.4152778
8.1,28.90361111,-111.555
8.1,20.39305556,-100.0941667
8.2,18.92194444,-98.55138889
8.2,19.53972222,-100.4822222
8.2,19.65166667,-101.1513889
8.2,19.80111111,-102.6702778
8.2,20.17861111,-98.06611111
8.2,20.30555556,-101.5972222
8.2,21.40472222,-103.1141667
8.2,21.86,-102.6638889
8.2,22.36277778,-99.86416667
8.2,25.36805556,-111.5194444
8.3,19.46555556,-99.24555556
8.3,19.51805556,-99.11083333
8.3,19.560156,-99.027075
8.3,19.65194444,-96.87305556
8.3,20.51027778,-101.6294444
8.3,21.2125,-103.3638889
8.3,23.69583333,-110.1194444
8.3,26.52916667,-104.1344444
8.4,16.925,-96.71833333
8.4,17.02722222,-96.71027778
8.4,18.80694444,-99.77916667
8.4,19.39527778,-99.09777778
8.4,20.17666667,-98.64527778
8.4,24.39166667,-111.1083333
8.4,25.81388889,-103.5741667
8.4,27.29861111,-112.875
8.4,27.54861111,-113.3888889
8.4,27.84083333,-109.3675
8.5,19.08694444,-98.88472222
8.5,19.7,-101.1833333
8.5,20.05444444,-103.1041667
8.5,20.5425,-102.7930556
8.5,21.01222222,-101.265
8.5,21.01472222,-101.2661111
8.5,25.54222222,-103.4691667
8.6,18.85805556,-98.595
8.6,20.20722222,-101.8616667
8.6,20.28861111,-99.41111111
8.6,20.70027778,-103.9761111
8.6,23.64583333,-100.7011111
8.6,25.54611111,-103.5219444
8.6,25.5875,-111.6402778
8.7,17.3,-96.9
8.7,19.03916667,-99.09388889
8.7,19.5825,-100.9238889
8.7,24.55277778,-103.9641667
8.7,30.615,-110.9488889
8.7,28.48722222,-100.9166667
8.8,17.78888889,-97.77194444
8.8,18.88388889,-98.38027778
8.8,19.4775,-99.22083333
8.8,19.50833333,-96.94944444
8.8,19.95805556,-99.53166667
8.8,20.38111111,-102.9277778
8.8,20.39527778,-103.1355556
8.8,20.66833333,-101.3372222
8.8,20.99416667,-101.9941667
8.8,25.05333333,-111.1222222
8.8,25.54833333,-104.5838889
8.8,25.61388889,-111.7461111
8.8,25.61444444,-105.0036111
8.8,27.96805556,-114.0458333
8.8,25.75888889,-103.0536111
8.9,24.18138889,-99.59527778
8.9,20.52194444,-100.4480556
9,17.51666667,-96.93305556
9,18.85111111,-99.78138889
9,19.30333333,-99.14805556
9,19.68861111,-101.1761111
9,20.0325,-100.7122222
9,20.12861111,-101.7488889
9,21.30944444,-104.9066667
9,21.89555556,-102.3086111
9,25.3625,-111.1722222
9,25.49027778,-111.9152778
9,20.48611111,-100.1875
9,21.24222222,-99.26027778
9.1,17.71,-97.08305556
9.1,18.97388889,-99.48472222
9.1,18.98972222,-99.75583333
9.1,19.39361111,-99.5175
9.1,20.56527778,-101.1997222
9.1,25.54333333,-99.84027778
9.1,28.75,-109.6344444
9.2,16.78916667,-92.82833333
9.2,19.80527778,-101.795
9.2,20.27583333,-101.3588889
9.2,20.27694444,-97.96027778
9.2,20.3375,-102.2830556
9.2,20.64138889,-98.82861111
9.2,25.50138889,-99.52138889
9.2,26.52083333,-112.5041667
9.2,20.37416667,-99.99833333
9.2,25.62277778,-102.6222222
9.3,16.82694444,-96.78055556
9.3,17.08166667,-92.85111111
9.3,20.94333333,-101.4302778
9.3,21.29861111,-100.0925
9.3,21.34777778,-101.9413889
9.3,23.58194444,-110.2208333
9.3,24.59388889,-110.9916667
9.4,19.71805556,-103.4647222
9.4,20.87,-101.2947222
9.4,20.90638889,-103.9797222
9.4,22.00027778,-102.8891667
9.4,26.05833333,-111.825
9.5,16.73972222,-96.81666667
9.5,17.85,-97.18305556
9.5,20.42055556,-103.5911111
9.5,20.54444444,-100.6855556
9.5,25.18888889,-111.4111111
9.5,25.27916667,-111.2852778
9.5,28.97861111,-105.3116667
9.5,29.27083333,-110.6358333
9.6,19.97361111,-102.2652778
9.6,20.455,-100.6208333
9.7,17.15972222,-95.91222222
9.7,18.71777778,-99.27861111
9.7,19.40361111,-99.19611111
9.7,20.48777778,-100.9627778
9.7,24.30416667,-111.2125
9.7,25.71527778,-107.9163889
9.7,27.58416667,-110.3244444
9.7,32.41277778,-115.1919444
9.7,26.8275,-102.725
9.7,27.22916667,-101.2275
9.8,16.32944444,-96.59388889
9.8,16.57944444,-96.73722222
9.8,18.19916667,-97.88638889
9.8,18.96777778,-99.65611111
9.8,19.01,-98.96
9.8,20.22777778,-103.5694444
9.8,20.33083333,-102.7633333
9.8,20.73527778,-101.2261111
9.8,25.95916667,-112.0819444
9.8,20.51305556,-99.9
9.8,20.58333333,-100.4
9.9,25.03222222,-111.6702778
10,17.43166667,-95.83027778
10,17.51666667,-98.26666667
10,19.0675,-100.0783333
10,19.23555556,-101.4569444
10,19.75305556,-103.1811111
10,20.00972222,-103.5152778
10,25.00972222,-111.6466667
10,25.22222222,-108.1902778
10,26.52666667,-112.6533333
10,32.71527778,-114.7288889
10,20.57027778,-100.3697222
10,27.88666667,-101.4022222
10.1,22.48527778,-99.56277778
10.1,24.9075,-111.2905556
10.1,27.35305556,-109.8594444
10.2,18.87805556,-98.77527778
10.2,21.60472222,-103.3377778
10.2,23.62666667,-98.37083333
10.2,23.80222222,-110.1091667
10.3,19.2125,-96.96388889
10.3,19.46527778,-96.46388889
10.3,20.44666667,-101.5363889
10.3,20.62555556,-101.6758333
10.3,23.14444444,-98.75111111
10.3,23.44111111,-109.7944444
10.3,23.74166667,-109.8402778
10.4,18.75027778,-99.62222222
10.4,19.525,-103.4333333
10.4,20.08333333,-104.0975
10.4,23.05305556,-109.915
10.4,23.53333333,-110.0744444
10.4,24.8,-107.1625
10.4,26.62916667,-112.3327778
10.5,18.90277778,-99.455
10.5,19.23333333,-100.1333333
10.5,19.60472222,-96.88444444
10.5,24.2525,-99.43444444
10.5,25.12222222,-111.9541667
10.5,21.05,-99.8
10.5,26.84138889,-100.7602778
10.6,17.83861111,-96.3675
10.6,18.25,-96.81666667
10.6,21.13611111,-101.6988889
10.7,19.24166667,-103.9661111
10.7,21.29888889,-104.8766667
10.7,22.21361111,-98.985
10.7,25.59722222,-111.3361111
10.7,26.25694444,-112.4827778
10.8,17.20722222,-96.79972222
10.8,18.69166667,-98.82472222
10.8,18.92166667,-98.45416667
10.8,18.94722222,-98.82916667
10.8,19.81111111,-96.91666667
10.8,21.37666667,-104.6183333
10.8,23.22083333,-110.1444444
10.8,25.12083333,-111.8133333
10.8,25.66111111,-108.06
10.8,26.91833333,-109.4533333
10.8,20.85722222,-99.89972222
10.9,17.35,-96.15
10.9,18.67111111,-99.5
10.9,19.55,-96.85
10.9,20.27,-102.77
10.9,21.46166667,-103.0866667
10.9,23.89305556,-110.1430556
10.9,27.15416667,-112.1527778
10.9,27.59833333,-109.9302778
10.9,27.98333333,-110.9666667
11,15.0275,-92.10416667
11,15.3325,-92.2675
11,15.81666667,-96.31666667
11,16.06805556,-96.79416667
11,16.30055556,-95.72666667
11,16.4175,-95.59888889
11,16.89111111,-97.21611111
11,16.98638889,-92.89138889
11,17.41666667,-97.26666667
11,17.46666667,-97.21666667
11,17.51666667,-97.5
11,17.53305556,-97.73305556
