lluviatotalmensual_ACUM,latitud,longitud
2190.2,19.18888889,-88.52388889
454.47,19.19027778,-98.87083333
714,19.19055556,-99.02194444
877,19.19666667,-99.12861111
710.6,19.19833333,-99.64833333
595.26,19.19972222,-97.9075
553.3,19.20055556,-102.8372222
10,19.20305556,-99.14916667
650.1,19.20388889,-98.80333333
719.7,19.20777778,-98.75833333
125.52,19.20944444,-99.58861111
703.14,19.21138889,-103.8063889
2043.96,19.2125,-96.96388889
747.73,19.21666667,-103.7130556
627.1,19.21944444,-98.24305556
773.7,19.2225,-104.4905556
1251,19.225,-104.2322222
839.86,19.23333333,-100.1333333
996.66,19.23444444,-99.80805556
975,19.23555556,-101.4569444
630.8,19.23638889,-102.77
902.91,19.2375,-104.5619444
676.45,19.23777778,-98.15916667
1212.39,19.24166667,-103.9661111
747.73,19.24222222,-103.7202778
3144.11,19.24333333,-98.19083333
746.65,19.24694444,-102.7686111
893.34,19.24833333,-99.57555556
517.4,19.25833333,-98.89583333
341.9,19.26138889,-98.37055556
1241.09,19.26138889,-96.41
970.81,19.26194444,-103.6133333
433.33,19.26277778,-99.00361111
1610.9,19.26361111,-97.14805556
1167.8,19.26638889,-104.3416667
557.18,19.26722222,-99.95027778
808.5,19.27888889,-103.6616667
1157.63,19.285,-104.245
963.76,19.28527778,-99.65277778
808.94,19.28583333,-99.52361111
374.68,19.29055556,-98.89361111
1134.1,19.29111111,-99.71416667
691.5,19.29138889,-97.34194444
1422.62,19.29166667,-104.5583333
833.6,19.29222222,-99.76777778
595.7,19.2925,-99.92222222
2175.06,19.29444444,-90.57583333
291.8,19.29694444,-99.18222222
635.72,19.29861111,-98.43388889
271.9,19.29888889,-97.76972222
957.76,19.30333333,-99.14805556
517.41,19.30611111,-99.82472222
1189.13,19.30638889,-104.8875
451.03,19.30722222,-98.38277778
847.76,19.31222222,-103.7261111
1026.7,19.31555556,-103.9347222
929.58,19.31805556,-97.64722222
707.6,19.32388889,-98.24666667
10,19.32666667,-98.36611111
1150.03,19.32888889,-103.7305556
3260.84,19.33277778,-96.99444444
453.92,19.33333333,-98.3
691.44,19.33388889,-99.13222222
1045.3,19.33805556,-103.6072222
737.74,19.33888889,-99.68416667
452.31,19.34277778,-98.16055556
17.6,19.34638889,-97.45611111
766,19.34638889,-98.58138889
1453.04,19.35555556,-90.72333333
554.42,19.35777778,-98.99166667
96.2,19.35944444,-89.58111111
971.2,19.35972222,-104.0925
973.4,19.36194444,-103.7936111
823.41,19.36305556,-96.65833333
1253.91,19.36472222,-96.37444444
149.45,19.37027778,-97.35583333
584.5,19.37027778,-100.1569444
77.2,19.37055556,-103.0194444
1830.8,19.37666667,-103.7088889
838.68,19.38333333,-100.3833333
1144.58,19.38416667,-100.8247222
607.53,19.38472222,-98.84611111
289.6,19.38527778,-97.28916667
2351,19.38611111,-96.97361111
147.1,19.38833333,-104.0469444
418.7,19.38861111,-98.02138889
865.01,19.38944444,-100.0758333
2096.07,19.39138889,-99.52527778
1395.34,19.39361111,-99.5175
687.4,19.39527778,-99.09777778
337.2,19.39916667,-99.90833333
818.95,19.40361111,-99.19611111
50.4,19.405,-99.56305556
858.57,19.40833333,-96.51638889
2327.4,19.41111111,-99.69944444
218.89,19.41194444,-97.39388889
834,19.4125,-99.20166667
200,19.41388889,-97.38888889
806.1,19.41555556,-98.14
505.9,19.41583333,-99.04555556
1400,19.42305556,-96.38805556
746.4,19.42388889,-99.86944444
1128,19.42388889,-100.9072222
697.79,19.42805556,-97.79888889
393.13,19.42916667,-99.05277778
940.6,19.43305556,-96.69777778
938,19.44083333,-99.54527778
48.25,19.44305556,-99.46444444
343.38,19.44333333,-98.90277778
1291.47,19.445,-103.5041667
939.95,19.44694444,-96.78361111
53.5,19.45,-96.54416667
46.7,19.45055556,-98.93166667
1650.26,19.45055556,-104.3591667
859.5,19.45277778,-99.28361111
566.62,19.45361111,-99.23833333
1578.77,19.45555556,-96.94444444
789.3,19.45611111,-100.0694444
505,19.45916667,-89.73805556
10,19.46111111,-100.0538889
750.88,19.46222222,-99.77555556
460.46,19.46472222,-97.95805556
501.55,19.46527778,-99.07916667
1044.5,19.46527778,-96.46388889
495.52,19.46555556,-99.24555556
667.93,19.47194444,-98.34527778
498.73,19.47222222,-98.99166667
2246.2,19.47444444,-104.4058333
925,19.47611111,-99.71444444
518.9,19.47666667,-99.09138889
275.22,19.47694444,-97.91722222
595.1,19.47694444,-98.87777778
413.79,19.4775,-99.22083333
617.7,19.48472222,-98.88638889
389,19.48611111,-97.26416667
279.78,19.49,-97.49444444
696.13,19.4925,-98.53527778
1251.3,19.49388889,-99.84166667
1106.1,19.49527778,-99.36777778
1235.28,19.49666667,-96.91805556
10,19.50027778,-97.75805556
1757.5,19.50138889,-88.39777778
1163.24,19.50277778,-96.61111111
434.63,19.50555556,-98.88194444
1503,19.50555556,-90.58416667
1557.68,19.50833333,-96.94944444
1298.12,19.5125,-90.41083333
1377.04,19.51472222,-99.72861111
587.69,19.51527778,-99.17277778
398.91,19.51805556,-99.11083333
460.05,19.51944444,-98.8125
10,19.51972222,-98.26916667
759.9,19.525,-103.4333333
1127.7,19.52722222,-90.18777778
1402.02,19.52944444,-99.46416667
10,19.52972222,-98.72666667
516.62,19.53194444,-98.91055556
653.3,19.53416667,-99.23944444
677.65,19.53694444,-100.6183333
86.1,19.53888889,-99.39694444
760.37,19.53972222,-100.4822222
580.02,19.54388889,-98.91277778
1364.88,19.55,-96.85
505.7,19.55472222,-98.56805556
683.38,19.55555556,-98.20277778
1021.7,19.55805556,-99.41388889
895.93,19.55916667,-99.6
500.4,19.560156,-99.027075
48.7,19.56166667,-99.01944444
45.7,19.56388889,-99.85
1115.1,19.56666667,-88.05
610.06,19.56888889,-99.76694444
664.31,19.57083333,-99.2375
646.3,19.57222222,-99.28694444
758.5,19.57277778,-99.665
412.2,19.57416667,-103.9127778
572.71,19.57611111,-98.91388889
1505.4,19.57833333,-89.60055556
374.16,19.58055556,-97.95833333
435.93,19.58083333,-97.24777778
551.9,19.58111111,-99.27833333
1146.1,19.5825,-100.9238889
428.5,19.58472222,-98.47805556
428.94,19.58611111,-98.56388889
474.62,19.58666667,-98.4275
1707.1,19.59027778,-96.94611111
482.75,19.5925,-98.12555556
662.9,19.59555556,-99.35472222
1546.9,19.59611111,-96.38361111
310.9,19.59694444,-98.63194444
1178.85,19.60472222,-96.9
1196.71,19.60472222,-96.88444444
471.51,19.61027778,-98.64166667
1987.65,19.61083333,-97.02722222
267.34,19.61472222,-97.50111111
1242.7,19.61472222,-90.21666667
212,19.61638889,-99.66833333
901.2,19.62027778,-101.1341667
515.73,19.62194444,-97.68111111
381.24,19.62222222,-100.6855556
336.87,19.62277778,-97.81416667
518,19.62333333,-99.28222222
41.8,19.62388889,-98.67527778
833.52,19.625,-101.2811111
1093.5,19.63305556,-88.6875
1226.92,19.63888889,-97.10972222
784.5,19.64,-98.91277778
856.6,19.64694444,-99.61333333
716.6,19.64861111,-103.9833333
679.5,19.65166667,-101.1513889
1601.64,19.65194444,-96.87305556
471.6,19.65527778,-98.22888889
602.06,19.65666667,-99.01722222
10,19.65833333,-98.55
882.51,19.6625,-99.95777778
944,19.66444444,-89.85916667
658.5,19.66916667,-99.83083333
506.13,19.6725,-99.68333333
1614.57,19.67305556,-90.47361111
431,19.68416667,-99.12666667
627.57,19.68861111,-101.1761111
606,19.68944444,-99.87166667
844.3,19.69166667,-100.5536111
1230,19.69444444,-88.37638889
581.2,19.695,-99.30166667
546.53,19.69694444,-103.9827778
412.81,19.6975,-97.5475
204.6,19.7,-98.75833333
890,19.7,-101.1833333
475.6,19.70444444,-99.21916667
681.74,19.70444444,-99.70305556
421.69,19.70722222,-98.44916667
675.17,19.71111111,-99.78888889
962.94,19.71666667,-89.85
795.7,19.71805556,-103.4647222
10,19.71888889,-104.6019444
486.9,19.71944444,-100.0419444
1770,19.72972222,-90.35083333
1060.17,19.73194444,-99.5475
961.2,19.7375,-102.0791667
1195.77,19.73888889,-88.70972222
339.53,19.75083333,-98.94944444
623.95,19.75305556,-99.64
1346.65,19.75305556,-103.1811111
936.9,19.75777778,-89.84305556
2146.99,19.7625,-97.23472222
454.11,19.76333333,-99.04388889
899.93,19.76916667,-100.1402778
644.2,19.7725,-100.2883333
451.69,19.77472222,-99.16694444
868.98,19.78166667,-99.4725
37.5,19.78333333,-101.4777778
467.27,19.78416667,-98.83222222
970,19.78611111,-97.55277778
1788.9,19.78888889,-97.24583333
524.02,19.79611111,-99.995
618.18,19.7975,-100.995
1015.37,19.7975,-99.87444444
102.7,19.79972222,-98.38083333
730,19.80111111,-102.6702778
569.4,19.80222222,-88.75444444
803,19.8025,-102.2888889
723.26,19.80527778,-101.795
248,19.80916667,-100.1294444
501.5,19.81083333,-98.26611111
2095.3,19.81111111,-96.91666667
573.6,19.81194444,-100.0813889
459.07,19.81527778,-98.48416667
1504,19.81527778,-97.36
715.5,19.82333333,-101.0383333
448,19.82388889,-98.95444444
787.62,19.82444444,-97.80722222
635.3,19.825,-99.79083333
715.4,19.82638889,-100.8788889
1634.96,19.83333333,-90.5
736.37,19.83944444,-98.03277778
1703.02,19.84222222,-90.53166667
1427,19.845,-90.27
1996,19.84722222,-88.13777778
415.4,19.84861111,-99.2125
15.6,19.85166667,-98.93638889
71,19.855,-99.96777778
998.48,19.85861111,-100.8272222
1116.04,19.86,-97.58555556
686.05,19.86166667,-99.9175
501.2,19.86472222,-98.35583333
413.91,19.87277778,-98.71805556
1136.4,19.87388889,-89.92694444
545.59,19.875,-99.735
562.2,19.88583333,-99.555
66.4,19.88888889,-102.205
776.03,19.89277778,-100.4425
1123.1,19.90111111,-88.81194444
398.86,19.90861111,-99.12638889
490.13,19.91444444,-104.0636111
548.05,19.91722222,-99.68
449.46,19.91972222,-100.0122222
1273.87,19.92111111,-100.8622222
758.08,19.92305556,-101.7469444
1970.33,19.92916667,-96.85555556
350,19.93777778,-99.01194444
430.2,19.94416667,-98.75388889
571,19.95388889,-98.32583333
471.37,19.955,-99.14611111
648.9,19.95555556,-99.74555556
756.07,19.95611111,-101.1380556
551.9,19.95805556,-99.53166667
921.71,19.95833333,-102.6
612.5,19.96,-97.96
962.91,19.96055556,-102.5844444
1295.65,19.96138889,-90.22777778
219.2,19.96388889,-99.31194444
388.5,19.96472222,-98.51305556
10,19.96666667,-102.325
440.36,19.97361111,-102.2652778
661.13,19.975,-102.1269444
356.1,19.98472222,-98.9175
616.2,19.98555556,-102.2830556
1035.5,19.98722222,-98.29722222
2439.3,19.98722222,-97.29833333
2760,19.98805556,-90.11777778
776.03,19.98944444,-100.5891667
10,19.99,-99.33222222
2751.22,20.00083333,-97.79416667
1291.42,20.00361111,-89.7475
445.42,20.00972222,-103.5152778
624.14,20.01111111,-102.2805556
670.62,20.02194444,-99.93083333
942.4,20.03222222,-88.54194444
794.01,20.0325,-100.7122222
3784.68,20.03888889,-97.52222222
591.8,20.04055556,-98.17388889
320.54,20.04444444,-98.36833333
507.63,20.05083333,-100.1494444
1480.49,20.05194444,-96.97277778
545.34,20.05444444,-103.1041667
267.8,20.05611111,-98.33444444
254.89,20.05666667,-99.34833333
711.51,20.05694444,-102.7238889
479,20.06111111,-101.8888889
227.52,20.0725,-98.65333333
1489.41,20.07916667,-97.06388889
455.7,20.08333333,-104.0975
206.9,20.08416667,-98.3575
551.66,20.08416667,-99.90694444
208.5,20.08777778,-98.74972222
534.55,20.1,-99.82
2109.43,20.1,-97.41027778
468.6,20.11777778,-102.3741667
369.83,20.11833333,-98.88527778
377.1,20.11972222,-99.54444444
701.42,20.12861111,-101.7488889
1514.81,20.13694444,-90.17472222
519.9,20.14,-99.6025
1067.87,20.14,-97.20111111
695,20.14361111,-102.8508333
200.67,20.15472222,-98.27388889
237.2,20.155,-99.355
1066.1,20.15611111,-96.72111111
515.7,20.15944444,-98.55666667
32.5,20.17666667,-98.64527778
1848.5,20.17722222,-98.06111111
1868.97,20.17861111,-98.06611111
1624.7,20.18333333,-90.13333333
1694.1,20.19333333,-88.36611111
1634.7,20.19722222,-90.12222222
537.9,20.19833333,-100.3633333
519.93,20.20277778,-104.0488889
559.87,20.20722222,-101.8616667
393.39,20.21916667,-99.84583333
365.66,20.21944444,-98.57861111
545.93,20.22555556,-99.88916667
1064.3,20.22555556,-87.45805556
407,20.22777778,-103.5694444
185.71,20.22944444,-99.21527778
467.14,20.23666667,-98.32416667
763.56,20.25777778,-102.5894444
246.7,20.26527778,-98.95805556
689.5,20.27,-102.77
511.51,20.27222222,-98.66361111
628.4,20.27583333,-101.3588889
2701.03,20.27694444,-97.96027778
476.6,20.28083333,-98.65861111
554.5,20.28138889,-101.0063889
460.03,20.28861111,-99.41111111
776.57,20.29,-103.1891667
528.06,20.30555556,-101.5972222
196.24,20.30944444,-99.7225
675.75,20.31944444,-101.4591667
909.1,20.32138889,-90.05888889
753.5,20.33083333,-102.7633333
812.55,20.33555556,-103.0175
12.6,20.33722222,-98.36194444
732.58,20.3375,-102.2830556
227.13,20.38055556,-98.96444444
886.13,20.38111111,-102.9277778
746.41,20.38277778,-101.1788889
773.04,20.39527778,-103.1355556
1523.4,20.40444444,-97.84472222
856.62,20.42055556,-103.5911111
189.6,20.42111111,-99.23111111
956.4,20.42583333,-103.2422222
1538,20.42638889,-90.03111111
1385.55,20.4275,-97.78666667
143.6,20.43305556,-99.14944444
10,20.43833333,-101.7422222
51.6,20.43944444,-103.6325
143.79,20.44055556,-99.37416667
1198.23,20.44166667,-97.76138889
1049.04,20.44583333,-97.325
567.4,20.44666667,-101.5363889
476,20.455,-100.6208333
1090.4,20.46722222,-89.07944444
137.68,20.47972222,-99.22388889
416.91,20.48777778,-100.9627778
775.3,20.48861111,-87.7375
1314.5,20.48888889,-97.4875
740.5,20.49944444,-101.9488889
1477.5,20.50055556,-104.7736111
112.09,20.50777778,-99.13555556
1743.2,20.51,-86.94611111
529.9,20.51027778,-101.6294444
999.1,20.51027778,-97.66805556
216.1,20.52972222,-98.63527778
1000,20.53361111,-98.47777778
459.6,20.53638889,-100.8166667
716.92,20.54083333,-97.47277778
