temperaturamximaextrema_ACUM,latitud,longitud
33.9,19.16194444,-88.10361111
37.1,19.16222222,-103.5241667
37.2,19.17166667,-103.8608333
21.4,19.17194444,-99.80611111
27,19.17638889,-100.2163889
28,19.17888889,-99.00277778
35.2,19.18388889,-104.1255556
34.6,19.18888889,-88.52388889
27.4,19.19027778,-98.87083333
17.6,19.19055556,-99.02194444
26.5,19.19666667,-99.12861111
23.6,19.19833333,-99.64833333
27.3,19.19972222,-97.9075
38.4,19.20055556,-102.8372222
27.7,19.20388889,-98.80333333
24.2,19.20777778,-98.75833333
25.6,19.20944444,-99.58861111
36.3,19.21138889,-103.8063889
28.8,19.2125,-96.96388889
37.1,19.21666667,-103.7130556
29.4,19.21944444,-98.24305556
11,19.2225,-104.4905556
35,19.225,-104.2322222
29,19.23333333,-100.1333333
21.6,19.23444444,-99.80805556
28.4,19.23555556,-101.4569444
39.1,19.23638889,-102.77
35.2,19.2375,-104.5619444
26.5,19.23777778,-98.15916667
36.9,19.24166667,-103.9661111
37.5,19.24222222,-103.7202778
27.9,19.24333333,-98.19083333
39.6,19.24694444,-102.7686111
26.8,19.24833333,-99.57555556
28.5,19.25833333,-98.89583333
27.9,19.26138889,-98.37055556
36.9,19.26138889,-96.41
35.8,19.26194444,-103.6133333
18.2,19.26277778,-99.00361111
30.6,19.26361111,-97.14805556
34.6,19.26638889,-104.3416667
37.3,19.285,-104.245
23,19.28527778,-99.65277778
25.6,19.28583333,-99.52361111
30.4,19.29055556,-98.89361111
27.2,19.29111111,-99.71416667
23.3,19.29138889,-97.34194444
38,19.29166667,-104.5583333
25.8,19.29222222,-99.76777778
35.2,19.29444444,-90.57583333
27.2,19.29694444,-99.18222222
28.4,19.29861111,-98.43388889
28.2,19.29888889,-97.76972222
26.7,19.30333333,-99.14805556
22.3,19.30611111,-99.82472222
33.4,19.30638889,-104.8875
26.8,19.30722222,-98.38277778
36,19.31222222,-103.7261111
35.1,19.31555556,-103.9347222
29.3,19.31805556,-97.64722222
29,19.32388889,-98.24666667
27.5,19.33333333,-98.3
30,19.33388889,-99.13222222
35.9,19.33805556,-103.6072222
27.6,19.33888889,-99.68416667
28.7,19.34277778,-98.16055556
27.1,19.34638889,-98.58138889
11,19.34638889,-97.45611111
36.3,19.35555556,-90.72333333
30.8,19.35777778,-98.99166667
11,19.35944444,-89.58111111
34.2,19.35972222,-104.0925
37.6,19.36194444,-103.7936111
37.1,19.36305556,-96.65833333
34.7,19.36472222,-96.37444444
24.3,19.37027778,-100.1569444
26.1,19.37027778,-97.35583333
11,19.37055556,-103.0194444
34.1,19.38416667,-100.8247222
28.3,19.38472222,-98.84611111
26.8,19.38527778,-97.28916667
11,19.38833333,-104.0469444
25.8,19.38861111,-98.02138889
24.2,19.38944444,-100.0758333
22.3,19.39138889,-99.52527778
30.1,19.39361111,-99.5175
27.9,19.39527778,-99.09777778
22.2,19.39916667,-99.90833333
29,19.40361111,-99.19611111
11,19.405,-99.56305556
34.7,19.40833333,-96.51638889
25.6,19.41111111,-99.69944444
26.2,19.41194444,-97.39388889
29.2,19.4125,-99.20166667
27.9,19.41388889,-97.38888889
28.1,19.41555556,-98.14
30.9,19.41583333,-99.04555556
35.3,19.42388889,-100.9072222
23.6,19.42388889,-99.86944444
27,19.42805556,-97.79888889
29,19.42916667,-99.05277778
11,19.44083333,-99.54527778
24.5,19.44305556,-99.46444444
28.2,19.44333333,-98.90277778
33.8,19.44694444,-96.78361111
11,19.45,-96.54416667
36.2,19.45055556,-104.3591667
11,19.45055556,-98.93166667
26,19.45277778,-99.28361111
11,19.45361111,-99.23833333
24,19.45611111,-100.0694444
36,19.45916667,-89.73805556
24.9,19.46222222,-99.77555556
26.5,19.46472222,-97.95805556
29.5,19.46527778,-99.07916667
33.8,19.46527778,-96.46388889
27.6,19.46555556,-99.24555556
26.9,19.47194444,-98.34527778
28.7,19.47222222,-98.99166667
35.3,19.47444444,-104.4058333
26.7,19.47611111,-99.71444444
31.7,19.47666667,-99.09138889
28.2,19.47694444,-98.87777778
26.8,19.47694444,-97.91722222
26.8,19.4775,-99.22083333
30,19.48472222,-98.88638889
27,19.48611111,-97.26416667
29.2,19.49,-97.49444444
27,19.4925,-98.53527778
25.4,19.49388889,-99.84166667
26.1,19.49527778,-99.36777778
33.7,19.50138889,-88.39777778
34.6,19.50277778,-96.61111111
26.3,19.50555556,-98.88194444
36.1,19.50555556,-90.58416667
24.4,19.5075,-100.0977778
27.7,19.50833333,-96.94944444
37.9,19.5125,-90.41083333
25.6,19.51472222,-99.72861111
30.2,19.51527778,-99.17277778
32,19.51805556,-99.11083333
29.1,19.51944444,-98.8125
32.7,19.525,-103.4333333
35.3,19.52722222,-90.18777778
21.2,19.52944444,-99.46416667
28,19.53194444,-98.91055556
28,19.53416667,-99.23944444
25.1,19.53694444,-100.6183333
11,19.53888889,-99.39694444
28.2,19.53972222,-100.4822222
28.7,19.54388889,-98.91277778
30.2,19.55,-96.85
26.2,19.55472222,-98.56805556
26.2,19.55555556,-98.20277778
24.2,19.55805556,-99.41388889
25.7,19.55916667,-99.6
28,19.560156,-99.027075
11,19.56166667,-99.01944444
11,19.56388889,-99.85
36.2,19.56666667,-88.05
28.4,19.56888889,-99.76694444
27.5,19.57083333,-99.2375
29.1,19.57222222,-99.28694444
32.7,19.57277778,-99.665
38.3,19.57416667,-103.9127778
27.1,19.57611111,-98.91388889
38.8,19.57833333,-89.60055556
27.6,19.58055556,-97.95833333
28.1,19.58083333,-97.24777778
28.3,19.58111111,-99.27833333
28.7,19.5825,-100.9238889
25.8,19.58472222,-98.47805556
25.2,19.58611111,-98.56388889
26.2,19.58666667,-98.4275
24.7,19.5925,-98.12555556
28.9,19.59555556,-99.35472222
32.2,19.59611111,-96.38361111
25.5,19.59694444,-98.63194444
30.1,19.60472222,-96.9
30.2,19.60472222,-96.88444444
26.6,19.61027778,-98.64166667
25.6,19.61083333,-97.02722222
27.9,19.61472222,-97.50111111
37.8,19.61472222,-90.21666667
25.7,19.61638889,-99.66833333
25.9,19.62222222,-100.6855556
30,19.62277778,-97.81416667
22.1,19.62333333,-99.28222222
11,19.62388889,-98.67527778
29.8,19.625,-101.2811111
35.1,19.63305556,-88.6875
26.4,19.64,-98.91277778
26.5,19.64694444,-99.61333333
37.4,19.64861111,-103.9833333
25,19.65166667,-101.1513889
28.3,19.65194444,-96.87305556
24.6,19.65527778,-98.22888889
27.9,19.65666667,-99.01722222
25.9,19.6625,-99.95777778
37.8,19.66444444,-89.85916667
27.5,19.66916667,-99.83083333
27.4,19.6725,-99.68333333
36.2,19.67305556,-90.47361111
23.2,19.68416667,-99.12666667
29.5,19.68861111,-101.1761111
27.1,19.68944444,-99.87166667
30.9,19.69166667,-100.5536111
38.2,19.69444444,-88.37638889
28.1,19.695,-99.30166667
40.9,19.69694444,-103.9827778
21.5,19.6975,-97.5475
31.4,19.7,-101.1833333
31.5,19.7,-98.75833333
25,19.70444444,-99.70305556
28.8,19.70444444,-99.21916667
28,19.70722222,-98.44916667
25.2,19.71111111,-99.78888889
36.9,19.71666667,-89.85
33.4,19.71805556,-103.4647222
25.4,19.71944444,-100.0419444
34.8,19.72972222,-90.35083333
26,19.7375,-102.0791667
37.7,19.73888889,-88.70972222
31,19.75083333,-98.94944444
36.8,19.75305556,-103.1811111
25.2,19.75305556,-99.64
37.8,19.75777778,-89.84305556
26.2,19.7625,-97.23472222
29.6,19.76333333,-99.04388889
28.3,19.76916667,-100.1402778
27.2,19.7725,-100.2883333
27.3,19.77472222,-99.16694444
25.9,19.78166667,-99.4725
11,19.78333333,-101.4777778
26.8,19.78416667,-98.83222222
27.5,19.78611111,-97.55277778
30.3,19.79611111,-99.995
29.1,19.7975,-100.995
24.6,19.7975,-99.87444444
25.4,19.79972222,-98.38083333
30.7,19.80111111,-102.6702778
38.8,19.80222222,-88.75444444
26.8,19.8025,-102.2888889
32.8,19.80527778,-101.795
22.2,19.80916667,-100.1294444
20.5,19.81083333,-98.26611111
35.3,19.81111111,-96.91666667
30.8,19.81194444,-100.0813889
26.7,19.81527778,-98.48416667
31.2,19.81527778,-97.36
32.6,19.82333333,-101.0383333
24.3,19.82388889,-98.95444444
28.7,19.82444444,-97.80722222
26.2,19.825,-99.79083333
32.6,19.82638889,-100.8788889
38.1,19.83333333,-90.5
25.4,19.83944444,-98.03277778
37.4,19.84222222,-90.53166667
36.2,19.845,-90.27
28.4,19.84861111,-99.2125
31.8,19.85166667,-98.93638889
24.4,19.855,-99.96777778
30.8,19.85861111,-100.8272222
26.6,19.86,-97.58555556
26.9,19.86166667,-99.9175
32,19.86472222,-98.35583333
31,19.87277778,-98.71805556
35.3,19.87388889,-89.92694444
25.6,19.88583333,-99.555
11,19.88888889,-102.205
31.7,19.89277778,-100.4425
36.8,19.90111111,-88.81194444
28.8,19.90861111,-99.12638889
35.8,19.91444444,-104.0636111
28.5,19.91972222,-100.0122222
31.1,19.92111111,-100.8622222
30.6,19.92305556,-101.7469444
27.8,19.93777778,-99.01194444
26.1,19.94416667,-98.75388889
24.8,19.95388889,-98.32583333
28.2,19.955,-99.14611111
22.2,19.95555556,-99.74555556
35.1,19.95611111,-101.1380556
29.7,19.95805556,-99.53166667
33.9,19.95833333,-102.6
24.9,19.96,-97.96
34.5,19.96055556,-102.5844444
41.7,19.96138889,-90.22777778
31.1,19.96388889,-99.31194444
27.5,19.96472222,-98.51305556
29.6,19.97361111,-102.2652778
28.9,19.975,-102.1269444
27.8,19.98472222,-98.9175
33,19.98555556,-102.2830556
25.1,19.98722222,-98.29722222
35,19.98722222,-97.29833333
38.9,19.98805556,-90.11777778
31.7,19.98944444,-100.5891667
34.8,20.00083333,-97.79416667
35.7,20.00361111,-89.7475
34.5,20.00972222,-103.5152778
33.1,20.01111111,-102.2805556
22.6,20.02194444,-99.93083333
36.8,20.03222222,-88.54194444
31.7,20.0325,-100.7122222
26.6,20.04055556,-98.17388889
29.7,20.04444444,-98.36833333
26.5,20.05083333,-100.1494444
37.2,20.05194444,-96.97277778
28.8,20.05444444,-103.1041667
28.8,20.05611111,-98.33444444
32.1,20.05666667,-99.34833333
30.6,20.05694444,-102.7238889
25.4,20.06111111,-101.8888889
27.3,20.0725,-98.65333333
33.3,20.08333333,-104.0975
25.8,20.08416667,-99.90694444
29.7,20.08416667,-98.3575
28.3,20.08777778,-98.74972222
26.1,20.1,-99.82
35,20.1,-97.41027778
32.1,20.11777778,-102.3741667
26.6,20.11833333,-98.88527778
28.1,20.11972222,-99.54444444
32.4,20.12861111,-101.7488889
37,20.13694444,-90.17472222
25.2,20.14,-99.6025
35.9,20.14,-97.20111111
33.6,20.14361111,-102.8508333
30.3,20.15472222,-98.27388889
32.5,20.155,-99.355
27,20.15944444,-98.55666667
30.6,20.17666667,-98.64527778
30.8,20.17722222,-98.06111111
30.2,20.17861111,-98.06611111
36.4,20.18333333,-90.13333333
35.9,20.19333333,-88.36611111
36.4,20.19722222,-90.12222222
30.1,20.19833333,-100.3633333
33.8,20.20277778,-104.0488889
33.8,20.20722222,-101.8616667
32.2,20.21916667,-99.84583333
30,20.21944444,-98.57861111
31.2,20.22555556,-99.88916667
32.3,20.22555556,-87.45805556
38.9,20.22777778,-103.5694444
30.5,20.22944444,-99.21527778
40.4,20.23666667,-98.32416667
31,20.25777778,-102.5894444
30.8,20.26527778,-98.95805556
30.8,20.27,-102.77
29,20.27222222,-98.66361111
32.2,20.27583333,-101.3588889
30.4,20.27694444,-97.96027778
29.1,20.28083333,-98.65861111
35.4,20.28138889,-101.0063889
29.3,20.28861111,-99.41111111
30.7,20.29,-103.1891667
30.5,20.30555556,-101.5972222
30.4,20.30944444,-99.7225
32.7,20.31944444,-101.4591667
37.1,20.32138889,-90.05888889
29.6,20.33083333,-102.7633333
31,20.33555556,-103.0175
21.8,20.33722222,-98.36194444
35.5,20.3375,-102.2830556
28.2,20.38055556,-98.96444444
31.4,20.38111111,-102.9277778
31.5,20.38277778,-101.1788889
33.5,20.39527778,-103.1355556
38.2,20.40444444,-97.84472222
32.4,20.42055556,-103.5911111
33.1,20.42111111,-99.23111111
38.2,20.42638889,-90.03111111
38.2,20.4275,-97.78666667
32.5,20.43305556,-99.14944444
11,20.43944444,-103.6325
30.4,20.44055556,-99.37416667
37,20.44166667,-97.76138889
33,20.44666667,-101.5363889
32.3,20.455,-100.6208333
36.7,20.46722222,-89.07944444
30.7,20.47972222,-99.22388889
32.3,20.48777778,-100.9627778
31.2,20.48861111,-87.7375
36.8,20.48888889,-97.4875
30.8,20.50055556,-104.7736111
29.5,20.50777778,-99.13555556
35.8,20.51,-86.94611111
32.8,20.51027778,-101.6294444
39.8,20.51027778,-97.66805556
28,20.52972222,-98.63527778
27.8,20.53361111,-98.47777778
29.5,20.53638889,-100.8166667
34.4,20.5425,-102.7930556
32.2,20.54444444,-100.6855556
36.4,20.54638889,-89.84944444
31.1,20.56527778,-101.1997222
31,20.57777778,-100.7455556
33.5,20.59638889,-105.22
35.8,20.59694444,-98.76583333
25.9,20.60805556,-102.2152778
27.2,20.615,-99.11555556
11,20.62083333,-104.5680556
32.9,20.62361111,-103.2411111
32.5,20.62555556,-101.6758333
34.5,20.63444444,-87.07777778
33,20.63944444,-99.32777778
31.4,20.64055556,-98.65527778
37.4,20.64138889,-98.82861111
25.6,20.66416667,-99.13666667
31.5,20.66833333,-101.3372222
31.1,20.67527778,-101.8441667
36.2,20.69027778,-90.4525
32.4,20.69583333,-102.9525
34.4,20.70027778,-103.9761111
31.8,20.71583333,-101.3697222
34.2,20.73527778,-101.2261111
33.5,20.74833333,-97.865
31.8,20.79055556,-87.28027778
33,20.8425,-101.5938889
31,20.8575,-102.22
32.7,20.87,-101.2947222
33.8,20.88222222,-87.54638889
35.5,20.88277778,-103.8366667
35.3,20.88722222,-97.80972222
34.1,20.90638889,-103.9797222
29.6,20.91916667,-100.4313889
30.7,20.92777778,-103.0233333
35.4,20.92944444,-97.67944444
29.6,20.94333333,-101.4302778
34.2,20.94777778,-101.4427778
30.7,20.95777778,-100.8933333
11,20.95972222,-97.41888889
36.8,20.98833333,-87.20444444
28.2,20.99166667,-98.65861111
28.2,20.99416667,-101.9941667
32.6,21.01222222,-101.265
32.6,21.01472222,-101.2661111
31.4,21.01805556,-102.8258333
38.8,21.01944444,-98.34805556
34.8,21.0275,-98.28972222
36.6,21.02972222,-89.63972222
